id,last_active,league,xp,class,dead,nodes,challenges
2e65f1889c807866fe364743e78c2520a3973cecb8de22e6ca9ec38f313a96d7,1483972111285,1,4250334444,11,,AAAABAUBAABeAO4ClgMeBLMGIwguC2EMUg-rES8UdRUgFr8YXRmKGY4ZtBn-GwEfQSF2I9Mj9iSLJJ0k_SaVKgsqOCpNKwos6S2DMHwxnjH6Mgk1kjfUOdQ64TwtPO8_J0PISshNkk3jTipPBFFHVUtaUluvXfJh4mJaZU1o8mxGbqpvJ3BScmx1y3b3exR7w311fyuDX4PMhMWGs4bOidOK5Iw2jX2Nv49gkm6XBppqm7Wb7Jx7oJ-iAKOKpMKmV6fUqJqoua9stfK3PrvjvFa9Nr6nwTPDOsSixq7SfNN-1CPWiti93Q3nVOpi7T_tYe2D7g7vevAf8kX2o_4K_o_-uv7I_94=,33
67ca7dfee3e382af8f6e1e049c88cc059d9829f3102edd9fa0f56a9049881139,1483972111285,1,4250334444,9,,AAAABAEDAAN1BAcEswagBsMLYQ5cEMwRUBQgFgsWbxeMGF0abBslHNwfAiSqJNgqEyqNNZI1uTbFNtg26TpYPAU8LTzvPV89_EV-RZ1G10kbS65Ms1BHUlNTUlXGVkhYY1h3WOVaK15dXwRfP2P9ZIRmVGaeZ5to8mr6bRluqnGFcg965nsge7N8g4Kbg1-DzIPbhW2Fe4x2jM-PGpErlG-XlZf0mjua4J2un9-iAKPypqOnCKcrp5SsmK4-r2yxQrXytzG3Prl-wGbE9sYExq7G2M9n0B_R_dWB1abYJNi92VvjauQi5FHpAuvu7DjsVe087w7vfO_r8B_xbPMR9kj3wfiT-b3-Cv6H,40
ac7a459ba0439a30fd687078b4f0238ef02ad4fb1a1d10c694f98e94d47d58ff,1483972111285,1,4250334444,10,,AAAABAEBAASzBS0Gxgd1CZYLYQxfDjwS4RNMFCAUTRRxFrsX4RiRGNsaOBpVHKchVSFgJvgnICcvKaUs-y3SMHc1kjboOQ46UjrhPAU8LT38QKBGt0d-TeNOMlBHU6VYY1nzWf5dpF4TXz9hIWRSZU1l8GebaGVo8nIPcql07XTxdU52rHh6eu982X31ggeDX4PMhNmE74ZghymHaooijM-QVZHOlG-XeZ8-ogCi6qZXpo2pJ6mUrKqtja4-r2y3PrvtvJ-9Nr6nwAHAZsCmwaPE9sauxtjPftNv2L3ZfNrB3D3d1eJh5FHqGO8O73zwH_JF843z3fSD9kj3Mve5-Ov8S_4K_o8=,40
c37469f2a76fa04a1890d1f9ee9826f5d492a9353c6bc4cd43608954da281010,1483972111285,1,4250334444,21,,AAAABAIBAABeBS0FZgW1CC4M8g2NES8RgRR1Fr8XJhmOGo0i6iPTI_YknSaVKjgrCi5TMHEwfDIBNj031DpCOrM8vj7PQdBDMUQNRJ5Hfkp9S3hM_02STipRR1O7VEdVS1b6WhpbJluvXfJeRV9wYeJh62JaYqxjp2VNbAhsjG8ndO11y3pTeoR67311f_uDbYTFh3aMNo19jX6Nv49gkAqS85pqmyabjZu1nMSdqp7Eo4qkwqXLpr6yGbTFtyK3tr02vea-p7_VwuzDM8M6yMzI8M3qz3rQrdNv037UI9jV2sHb591G3ajfb-Cf45_l5ujW6mLrY-0_7YPuDu9674_xivrr_MX-ug==,38
3feff9861c6ca520ccce7e11f295854ab6c80129d99aeed0a4ff283a9ff25994,1483972111285,1,4250334444,11,,AAAABAUBAAKWCaoKmwxSDXwOSA5cD8QRLxFQEZYV1xmKGo8bJRzcHaogbiL0JJ0nqSj6KgsqOCsKLL8s4S9vMtE1uTt8PAU9Xz3iRA1FR0V-RnFHBkjuSVFLrkyzUDBSU1ZjV8ld8l9qX7BgQ2JaY0Nq-mwIbAttGW49b55wUnC7feN_xoKbgwmExYauidOLjIw2jxqP-pJukyeXBpeVl_SaO5u1nHuf36EvoqOnK6i5rGa0DLiTuMq5PrxWvoC-isBmwJrBxcM6xKLI8MpKytPQH9DQ0nzTfth22RPZW9n8217b59-Y4YjnCukC6rrr7uwY7WHveu987-vw1fGK8uH22vnd-wn-SQ==,40
2d11310eb77ce8cdf1f1d52d0d120224d3919ce24dd217584e28e6ad19098cda,1483972111285,1,4250334444,14,,AAAABAMDAAHcA-4EBwSzBS0LYQxfDc0N4hEtFCAUcRUnFm8XLxhWGjgcpxzOHNwdviSqJy8o-itQLJwuUzOHNZI26TpYPC1Bh0WdR35IjkyzTblTUlOlVcZV1lnzWpFfP2EhZKNk52ZUZp5oWGhlaHRo8mqsa9tvO3IPcql07Xasd-N4DXlofIOApIIHgseDX4PMg9uE2YTvhWCJ2Iyxjr6PGpBVksGUb5itmuCbiqIAqH2pbqrErJisqq9sr6e18rc-uJO9Nr5PwBrBBMT2xq7MvM9-0B_Tb9OP0_vXlti92XzaYtrB37DjauoY6-7sg-yK7w7v6_Af8kHz3fcy99f46_no-tL-Cv5U,40
adef915e5a85180e3aa6f4e1440eb17b8fd4bbb2a2f992e1fbb0d8536382694e,1483972111285,1,4250334444,11,,AAAABAUBAAKWBx4JqgxSDXwOSA5cD8QRLxFQEZYV1xmKGo8bJRzcHaogbiL0JJ0o-ioLKjgrCiy_LOEvbzLRNbk3gzt8PAU9X0QNRUdFfkZxRwZJUUmxS65Ms1AwUlNWY1fJXfJfal-wYENiWmNDavpsC20Zbj1vnnBScLt943_GgpuDCYTFhq6J04uMjDaPGo_6km6TJ5UulwaXlZf0mjubtZx7n9-hL6KjpuunK6i5rGa0DLiTuMq5PrxWvoC-isBmwJrDOsSiyPDKSsrT0B_Q0NJ8037Xz9h22RPZW9n8217fmOGI6QLquuvu7BjtYe9673zviO_r8NXy4fba-Tf53fsJ_kk=,24
5c2093d0ef21f4f79e793b2cf8ea1fcf63e32749a75e39f91aab63bf1bfa4bf7,1483972111285,1,4250334444,22,,AAAABAIDAAPuDXwOSA5cD6sRDxEvEVARlha_GGoZihqPGyUc3B2-HxggbiL0JIsknSepKPoqCyo4KwotqC9vM4c1uTdMPV9BlkQNRX5GcUlRSbFLrkyzUDBR-1IpUlNV4FfJWAdYWlxrXIpd8l9qYlpq-mwLbRlwUnC7df14L3vXfOV_gH_GgseDCYRIhG-ExY2SjxqPRo_6kyeXBpeVl_SboZu1nrehL6crrJius6_rsZC0DLVIuJO5k76AvorBxcMJwzrDbcSix53I8MrTzRbQH9DQ0PXTftRC18_ZE9lb217fmOfq6QLquutj6_XsGO9674jv6_DV8W3yHfba9z331_kz-Tf7Cf8Q,40
fefc7f3c4aa4aa3e0521eaa721ebb77a2a184a22abc5f90aed8f76aee6c131de,1483972111285,1,4250334444,17,,AAAABAYBAAeZCTMNfA5IDlwPqxCSES8RUBGWFSAV1xa_GYobJSBuIvQj0ySLJJ0qCyo4KwosvyzhLOkyMjW5PV894kQNRX5GcUcGSO5JUUuuTI5Ms04qUDBR2VIpUlNV4FZjVvVYWlnwW69d8l9qYENiWmNDavpsCGwLbRltbG49bydwUnX9d_1943_GgwmEb4SihMWGroazjAuOio9gj_qQG5MnlwaXlZfQl_Saapu1oS-i2acrrGawkrDYtAy1SLk-uXy8b76AvorBxcM6xKLI8MrT0B_Q0NE2037Ydtlb2Ybbbtvn3Q3fmOIs4tXpAuq662PsGOyw7UHveu_r8NXxivLh9qP_kw==,26
af6b7c4ab495460f2eb18325f424705acf4779e3959d4bd441e9463909c4c0f7,1484147705073,1,4250334444,17,,AAAABAYBAADuB5kNfA5ID6sQkhEPES8RUBGWFSAV1xa_GGoZtBslIG4i9CPTJIsnqSoLKjgqTSsKLL8s4SzpLYMyMjW5Ow09Xz8nRnFHBklRSbFKyEuuTI5Ms04qUDBRTFIpUlNSr1XgVmNYB1haWfBbr1xAXfJfamBDZ_xqjGwLbRluPW8nb55wUnWedoJ4L3zlfVt943_GgwmEooTFhq6Gs4fLj2CP-pMnl5WX9Jpqm6GbtaEvotmnK6ebrEesZqyYrUqw2LQMtNG1SLk-vG--gL6KvqfBxcM6yAzIFMpKytPPFdAf0NDXz9h22VvZht0N6QLquutj7BjviO_r8NX1b_fX-Tc=,37
